code,label,location,level,semester,responsible,hours,prerequisite,parcours,evaluation,obtention,objective,content,methods,language,bibliography
XLG3IU030,Programmation à Objets,Lombarderie,Licence,3,GRANVILLIERS LAURENT,TOTAL : 40h Répartition : CM : 8h TD : 20h CI : 0h TP : 12h EAD : 0h,"(s)
• Introduction au développement logiciel (913 17 LG 2 INF UE 1495)",OPT/IM,Programmation à Objets 100%,une ou plusieurs composantes orales.,(résultats d'apprentissage) Connaître les mécanismes d’héritage et de polymorphisme,Classes abstraites,Distanciel : Apprentissage en autonomie d'éléments complémentaires aux cours en présentiel.,Français,"Matt Weisfeld. The Object-Oriented Thought Process. Addison-Wesley, 5th edition, 2019."
XLG3IU010,Algorithmique et Structures de données 1,Lombarderie,Licence,3,RUSU Irena,TOTAL : 40h Répartition : CM : 10.67h TD : 16h CI : 0h TP : 13.33h EAD : 0h,"(s)
• Fonctionnement des ordinateurs (913 17 LG 2 INF UE 1266)",option santé,Algorithmique et Structures de données 1 100%,une ou plusieurs composantes orales.,"(résultats d'apprentissage)
•
Évaluer une implémentation de structure de données en temps et en place mémoire (coûts minimal,
maximal, amorti)
•",et mise en pratique dans l’approche de résolution de problèmes « Diviser pour régner ».,"Langue d’enseignement Français
•","Français
•",•
XLG3IU040,Bases de données 2,Lombarderie,Licence,3,MONTOYA Gabriela,TOTAL : 40h Répartition : CM : 10.67h TD : 16h CI : 0h TP : 13.33h EAD : 0h,(s),"L2 Informatique,L2 LAS Informatique option santé",Bases de données 2 100%,une ou plusieurs composantes orales.,"(résultats d'apprentissage) Programmer en un langage procédurale lié à une base de données, par exemple PL/SQL ou","Vues et contrôle d’accès
5.","L’enseignement se fait en CM, TD et TP en présentiel.","Français
•",•
XLG3IU020,Logique pour l'informatique,Lombarderie,Licence,3,JABER GUILHEM,TOTAL : 40h Répartition : CM : 16h TD : 24h CI : 0h TP : 0h EAD : 0h,(s),"option santé,L2 Maths CMI Ingénierie Statistique",Logique pour l'informatique 100%,"La note de CCE peut contenir une ou plusieurs composantes pratiques et éventuellement une ou
plusieurs composantes orales.","(résultats d'apprentissage)
consistance et complétude d'un système de preuves.
4. Représenter une preuve de la déduction naturelle sous forme d'arbre d'inférence.
5. Utiliser les algorithmes d'unification et de résolution pour le raisonnement automatique sur les
formules logiques.
1) Raisonnement algébrique booléen
• Dualités des connecteurs logiques
• Formes normales conjonctive et disjonctive
2) Systèmes de preuves
• Système d'inférence associé à une définition inductive
• Preuve d'appartenance à un ensemble inductif par un arbre de preuves
• Règles d'inférences de la déduction naturelle pour la logique propositionnelle
• Distinguer logique classique et logique intuitionniste
3) Donner du sens aux langages logique","• Interprétation, modèle, satisfiabilité, validité
• Correspondance avec le système de preuve: correction et complétude
4) Calcul des prédicats
• Manipulation des quantificateurs
• Skolémisation, forme clausale
• Théorie logique
5) Raisonner automatiquement sur les formules logique
• Algorithme d'unification
• Algorithme de résolution",Enseignement en présentiel,"Français
- Jaume, M., Journault M., Lésot M.-J., Manoury P., Mounier I. (2020) Logique pour l'informatique.","- David, R., Nour K., and Raffalli, (2001) C. Introduction à la Logique, Théorie de la démonstration."
XLG3MU050,Introduction aux probabilités,Lombarderie,Licence,3,PERRIN MATTHIEU,TOTAL : 40h Répartition : CM : 16h TD : 24h CI : 0h TP : 0h EAD : 0h,(s),"L2 Informatique,L2 LAS Informatique option santé",Introduction aux probabilités 100%,"La note de CCE peut contenir une ou plusieurs composantes pratiques et éventuellement une ou
plusieurs composantes orales.","(résultats d'apprentissage)
•","Définition et calcul de la probabilité conditionnelle
•",Enseignement en présentiel,"Français
•",•
XLG3TU040,Connaissance de l'entreprise,Lombarderie,Licence,3,CATALO MARIE,TOTAL : 36h Répartition : CM : 0h TD : 0h CI : 36h TP : 0h EAD : 0h,(s),"L2 Informatique,L2 LAS Informatique option santé",Connaissance de l'entreprise 100%,une ou plusieurs composantes orales.,"(résultats d'apprentissage)
l’entreprise dans son environnement)",Approche économique de l’entreprise,cours au travers d’activités et de situations pédagogiques variées.,Français,
XLG3TU010,Methodologie et insertion professionnelle S3,Niveau Licence,Licence,3,LABBE LUCILE,TOTAL : 4h Répartition : CM : 0h TD : 4h CI : 0h TP : 0h EAD : 0h,(s),"Chimie,L2 MIASHS, Economie,L2 Informatique,L2 Physique,L2 Physique, Physique-",Methodologie et insertion professsionelle : PPE 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XLG3TU020,Enjeux de la transition écologique,Niveau Licence,Licence,3,DUMAY JUSTINE,TOTAL : 18h Répartition : CM : 12.667h TD : 5.333h CI : 0h TP : 0h EAD : 0h,(s),"Chimie,L2 MIASHS, Economie,L2 Informatique,L2 Physique,L2 Physique, Physique-",Enjeux de la transition écologique 100%,Programme,(résultats d'apprentissage),Programme des 9 séances en ligne (d’environ 1h30 de travail chacune) :,"- 9 séances de cours en ligne
- 3 séances de TD en fin de module, spécifiques à chaque parcours",Français,Cf page Madoc du module
XLG3AU010,2nd year English S3,Niveau Licence,Licence,3,KERVISION SYLVIE,TOTAL : 16h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 0h,(s),"Physique-Mathématiques,L2 LAS Physique option Santé,L2 Physique CMI Physique-Mécanique,L2",2nd year English S3 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
XLG3TU030,Stage libre,Niveau Licence,Licence,3,Volume horaire total TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h,(s),"option Santé,L2 LAS Mathématiques option Santé,L2 Informatique, Info-Maths,L2 LAS Informatique
option santé,L2 Info-Maths CMI OPT/IM,L2 Maths CMI Ingénierie Statistique,L2 MIASHS,",Stage libre 100%,Programme,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Français,Français,
