code,label,location,level,semester,responsible,hours,prerequisite,parcours,evaluation,obtention,objective,content,methods,language,bibliography
XMS3IU300,Optimisation multi-objectif,UFR des sciences et des techniques,Master,3,PRZYBYLSKI ANTHONY,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"M2 Optimisation en Recherche Opérationnelle (ORO),M2 CMI-OPTIM",Optimisation multi-objectif 100%,La répartition entre évaluation écrite/orale/pratique sera donnée à l'occasion du premier cours.,"(résultats d'apprentissage)
problems (M)
- To be able to apply the e-constraint algorithm with adaptive step to solve a bi-objective
combinatorial problem (A)
- To be able to apply the weighted sum scalarization to compute a complete set of extreme
supported solution of a bi-objective combinatorial optimization problem (A)
- To be able to define and update the search area of a bi-objective combinatorial optimization
problem (Phase 2 of the two phase method) (A)
- To know the main strategies (variable fixing, ranking, branch and bound) to explore the search
area (A)
- To know the notion of bound sets (M)
- To be able to apply a branch and bound algorithm to solve a bi-objective combinatorial
optimization problem (A)
- To be able to apply a dynamic programming algorithm for multi-objective combinatorial
optimization problem, application to the shortest path problem (A)","* Multi-objective combinatorial optimization - main definitions and properties
* Multi-objective combinatorial optimization - main solution methods
* Multi-objective shortest path problem",Langue d’enseignement Anglais,Anglais,
XMS3IU310,Programmation mathématique,UFR des Sciences et des Techniques,Master,3,ROSSI ANDRE,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"M2 Optimisation en Recherche Opérationnelle (ORO),M2 CMI-OPTIM",Programmation mathématique 100%,La répartition entre évaluation écrite/orale/pratique sera donnée à l'occasion du premier cours.,"(résultats d'apprentissage) form of a mixed integer linear program (A)
-To be able to detect symmetry in a problem or model, and to know how to cope with this
phenomenon (A-M)
- To apprehend Lagragian relaxation with effective implementation (M)
- To discover the implementation of a column generation algorithm (I)
-To understand the theory of Dantzig-Wolfe decomposition and to devise a column generation
approach for various combinatorial optimization problems (M)
-To know Branch-and-Price and the different ways to make it efficient (A)
-To know the Benders decomposition and its relation with Dantzig-Wolfe decomposition (A)
-To know how matheuristics work for both exact methods using approximate methods, and
heuristics taking advantage of exact approaches (M)",Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,
XMS3IU320,Optimisation globale,UFR des Sciences et des Techniques,Master,3,GRANVILLIERS LAURENT,TOTAL : 24h Répartition : CM : 12h TD : 4h CI : 0h TP : 8h EAD : 0h,(s),"M2 Optimisation en Recherche Opérationnelle (ORO),M2 CMI-OPTIM",Optimisation globale 100%,La répartition entre évaluation écrite/orale/pratique sera donnée à l'occasion du premier cours.,"(résultats d'apprentissage) • Connaître les stratégies de recherche usuelles
• Mettre en oeuvre un solveur de problèmes d'optimisation non linéaires","• Arithmétique par intervalles
• Techniques de réduction
• Techniques de linéarisation
• Certification des calculs numériques
• Classe inversée","• Projet de développement (logiciel, cas d'étude)",Anglais,Cf. les 60 références du polycopié de cours
XMS3IU330,Algorithmique du génome,UFR des Sciences et des Techniques,Master,3,RUSU Irena,TOTAL : 24h Répartition : CM : 10.67h TD : 13.33h CI : 0h TP : 0h EAD : 0h,(s),"M2 Optimisation en Recherche Opérationnelle (ORO),M2 CMI-OPTIM",Algorithmique du génome 100%,La répartition entre évaluation écrite/orale/pratique sera donnée à l'occasion du premier cours.,"(résultats d'apprentissage) Comprendre, reproduire et adapter les algorithmes de recherche de motifs",Alignement de séquences,Présentiel.,Anglais,
XMS3IU340,Optimisation en robotique,UFR des Sciences et des Techniques,Master,3,JERMANN CHRISTOPHE,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"M2 Optimisation en Recherche Opérationnelle (ORO),M2 CMI-OPTIM",Optimisation en robotique 100%,La répartition entre évaluation écrite/orale/pratique sera donnée à l'occasion du premier cours.,"(résultats d'apprentissage)
optimization problems (Analysis) ;
* model a variety of robotic problems as numerical constrained optimization problems and solve
them using an appropriate method (Synthesis) ;",demonstrates how the optimization techniques learnt throughout the Master allow solving them.,Langue d’enseignement Anglais,Anglais,
XMS3IU350,Conférences et projet intégrateur,UFR des Sciences et des Techniques,Master,3,TONNEAU QUENTIN,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"M2 Optimisation en Recherche Opérationnelle (ORO),M2 CMI-OPTIM",Conférences et projet intégrateur 100%,La répartition entre évaluation écrite/orale/pratique sera donnée à l'occasion du premier cours.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,
XMS3IU360,Solveurs multi-objectifs,UFR des Sciences et des Techniques,Master,3,GANDIBLEUX XAVIER,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"M2 Optimisation en Recherche Opérationnelle (ORO),M2 CMI-OPTIM",Solveurs multi-objectifs 100%,La répartition entre évaluation écrite/orale/pratique sera donnée à l'occasion du premier cours.,"(résultats d'apprentissage)
métaheuristique multiobjectif.
• Appréhender et conduire des cas d'étude.",• Non-dominated Sorting Genetic Algorithm 2 : NSGA-II,"• Cours ex-cathedra, exercices, mise en situation","Anglais
• Ralph E. Steuer. Multiple Criteria Optimization : Theory, Computation, and Application. Wiley","Inc, 2001
• Carlos Coello Coello, Gary Lamont, David van Veldhuizen. Evolutionary Algorithms for Solving"
XMS3WU370,Ordonnancement et planification,IMT Atlantique,Master,3,Bellenguez Odile,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"M2 Optimisation en Recherche Opérationnelle (ORO),M2 CMI-OPTIM",Ordonnancement et planification 100%,La répartition entre évaluation écrite/orale/pratique sera donnée à l'occasion du premier cours.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,
XMS3WU380,Transport et logistique,IMT Atlantique,Master,3,LEHUEDE Fabien,TOTAL : 24h Répartition : CM : 10h TD : 10h CI : 0h TP : 4h EAD : 0h,(s),"M2 Optimisation en Recherche Opérationnelle (ORO),M2 CMI-OPTIM",Transport et logistique 100%,La répartition entre évaluation écrite/orale/pratique sera donnée à l'occasion du premier cours.,"(résultats d'apprentissage) + Heuristics for vehicle routing problems M
+ Meta heuristics for vehicle routing problems A
+ Solving vehicle routing problems with time windows A
+ Advanced exact methods for facility location and vehicle routing (Branch and cut, Lagrangean
relaxation, column generation) I.","- Model the core problems and their simple extensions
- Design some exact and heuritic solving methods for these optimization problems",Langue d’enseignement Anglais,Anglais,
XMS3WU390,Contraintes globales,IMT Atlantique,Master,3,BELDICEANU Nicolas,TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h,(s),"M2 Optimisation en Recherche Opérationnelle (ORO),M2 CMI-OPTIM",Contraintes globales 100%,La répartition entre évaluation écrite/orale/pratique sera donnée à l'occasion du premier cours.,(résultats d'apprentissage),Méthodes d’enseignement,Langue d’enseignement Anglais,Anglais,
